language,setCode,translation
Chinese Simplified,GRN,
Chinese Traditional,GRN,
French,GRN,Les Guildes de Ravnica
German,GRN,Gilden von Ravnica
Italian,GRN,Gilde di Ravnica
Japanese,GRN,
Korean,GRN,
Portuguese (Brazil),GRN,
Russian,GRN,
Spanish,GRN,Gremios de Rávnica
Chinese Simplified,GTC,
Chinese Traditional,GTC,
French,GTC,Insurrection
German,GTC,Gildensturm
Italian,GTC,Gatecrash
Japanese,GTC,
Korean,GTC,
Portuguese (Brazil),GTC,
Russian,GTC,
Spanish,GTC,Gatecrash
Chinese Simplified,HML,
Chinese Traditional,HML,
French,HML,Terres Natales
German,HML,Heimatländer
Italian,HML,Origini
Japanese,HML,
Korean,HML,
Portuguese (Brazil),HML,
Russian,HML,
Spanish,HML,Tierras Natales
Chinese Simplified,HOU,
Chinese Traditional,HOU,
French,HOU,L’âge de la destruction
German,HOU,Stunde der Vernichtung
Italian,HOU,L’Era della Rovina
Japanese,HOU,
Korean,HOU,
Portuguese (Brazil),HOU,
Russian,HOU,
Spanish,HOU,La hora de la devastación
Chinese Simplified,ICE,
Chinese Traditional,ICE,
French,ICE,Ere Glaciaire
German,ICE,Eiszeit
Italian,ICE,Era Glaciale
Japanese,ICE,
Korean,ICE,
Portuguese (Brazil),ICE,
Russian,ICE,
Spanish,ICE,Era Glacial
Chinese Simplified,IKO,
Chinese Traditional,IKO,
French,IKO,Ikoria: Lair of Behemoths
German,IKO,Ikoria: Lair of Behemoths
Italian,IKO,Ikoria: Lair of Behemoths
Japanese,IKO,
Korean,IKO,
Portuguese (Brazil),IKO,
Russian,IKO,
Spanish,IKO,Ikoria: Lair of Behemoths
Chinese Simplified,IMA,
Chinese Traditional,IMA,
French,IMA,Iconic Masters
German,IMA,Iconic Masters
Italian,IMA,Iconic Masters
Japanese,IMA,
Korean,IMA,
Portuguese (Brazil),IMA,
Russian,IMA,
Spanish,IMA,Iconic Masters
Chinese Simplified,INV,
Chinese Traditional,INV,
French,INV,Invasion
German,INV,Invasion
Italian,INV,Invasione
Japanese,INV,
Korean,INV,
Portuguese (Brazil),INV,
Russian,INV,
Spanish,INV,Invasión
Chinese Simplified,ISD,
Chinese Traditional,ISD,
French,ISD,Innistrad
German,ISD,Innistrad
